nom,CID,MW,LogP
Agomélatine,82148,243.306,2.527
Alaproclate,2081,255.74500000000003,2.5515000000000008
Amitriptyline,2160,277.41100000000006,4.168600000000003
Amoxapine,2170,313.788,3.4292000000000016
Bupropion,444,239.74599999999998,3.2993000000000023
Citalopram,2771,324.39900000000006,3.812980000000003
Clomipramine,2801,314.86,4.528400000000004
Dapoxétine,71353,305.42100000000005,4.911600000000004
Desvenlafaxine,125017,263.381,2.7326000000000006
Dosulépine,5284550,295.451,4.675700000000004
Doxépine,667477,279.38300000000004,3.9624000000000033
Duloxétine,60835,297.42300000000006,4.630900000000003
Désipramine,2995,266.38800000000003,3.5328000000000026
Escitalopram,146570,324.39900000000006,3.812980000000003
Fluoxétine,3386,309.3310000000001,4.435000000000004
Fluvoxamine,5324346,318.3390000000001,3.201500000000002
Imipramine,3696,280.415,3.8750000000000027
Indalpine,44668,228.33900000000003,3.100100000000001
Iproclozide,19063,242.706,1.748
Iproniazide,3748,179.223,0.724399999999999
Isocarboxazide,3759,231.255,1.4176199999999997
Kétamine,3821,237.73,2.897800000000001
Lévomilnacipran,6917779,246.35399999999998,1.7713999999999994
Maprotiline,4011,277.411,4.211400000000003
Medifoxamine,36109,257.333,3.0321000000000016
Miansérine,4184,264.372,3.0839000000000016
Milnacipran,65833,246.35399999999998,1.7713999999999994
Mirtazapine,4205,265.36,2.4789000000000003
Moclobémide,4235,268.74399999999997,1.4019999999999997
Nomifensine,4528,238.33400000000003,2.8461000000000016
Nortriptyline,4543,263.384,3.8264000000000022
Néfazodone,4449,470.0170000000002,3.5519000000000025
Opipramol,9417,363.505,3.308500000000002
Oxaflozane,432824,273.298,3.4871000000000025
Paroxétine,43815,329.37100000000004,3.326500000000002
Phénelzine,61100,234.277,0.039600000000000746
Pimozide,16362,461.5560000000001,5.8570000000000055
Protriptyline,4976,263.38400000000007,4.301900000000003
Sertraline,68617,306.23600000000005,5.179600000000004
Sélégiline,26757,187.286,2.1826
Tianeptine,68870,436.96100000000024,4.192600000000004
Toloxatone,34521,207.229,1.31252
Tranylcypromine,5530,133.194,1.5012
Trazodone,5533,371.872,2.3617
Trimipramine,5584,294.44200000000006,4.121000000000003
Venlafaxine,5656,277.408,3.0356000000000014
Vilazodone,6918314,441.53500000000014,4.029580000000003
Viloxazine,5666,237.29899999999998,1.4524999999999997
Vortioxétine,9966051,298.45500000000004,3.8642400000000032
Zimélidine,5365247,317.23,3.8374000000000024
