nom,CID,MW,LogP,DeltaG_MexB,DeltaG_MexR
Agomélatine,82148,243.306,2.527,-9.271,-8.171
Alaproclate,2081,255.74500000000003,2.5515000000000008,-7.257,-6.796
Amitriptyline,2160,277.41100000000006,4.168600000000003,-7.454,-6.625
Amoxapine,2170,313.788,3.4292000000000016,-9.198,-8.446
Bupropion,444,239.746,3.2993000000000023,-7.378,-6.78
Citalopram,2771,324.39900000000006,3.812980000000003,-8.656,-7.781
Clomipramine,2801,314.86,4.528400000000004,-6.2,-5.612
Dapoxétine,71353,305.42100000000005,4.911600000000004,-10.31,-9.123
Desvenlafaxine,125017,263.381,2.7326000000000006,-7.377,-6.878
Dosulépine,5284550,295.451,4.675700000000004,-8.372,-7.232
Doxépine,667477,279.38300000000004,3.9624000000000033,-9.34,-8.163
Duloxétine,60835,297.42300000000006,4.630900000000003,-8.827,-7.313
Désipramine,2995,266.38800000000003,3.5328000000000026,-6.588,-6.07
Escitalopram,146570,324.39900000000006,3.812980000000003,-8.636,-7.728
Fluoxétine,3386,309.3310000000001,4.435000000000004,-9.145,-7.741
Fluvoxamine,5324346,318.3390000000001,3.201500000000002,-7.777,-7.081
Imipramine,3696,280.415,3.875000000000002,-6.837,-5.625
Indalpine,44668,228.33900000000003,3.100100000000001,-9.051,-7.917
Iproclozide,19063,242.706,1.748,-7.133,-6.633
Iproniazide,3748,179.223,0.724399999999999,-6.445,-5.686
Isocarboxazide,3759,231.255,1.4176199999999997,-8.172,-7.597
Kétamine,3821,237.73,2.897800000000001,-6.843,-6.882
Lévomilnacipran,6917779,246.354,1.7713999999999994,-6.878,-6.846
Maprotiline,4011,277.411,4.211400000000003,-9.187,-7.902
Medifoxamine,36109,257.333,3.0321000000000016,-8.343,-6.886
Miansérine,4184,264.372,3.0839000000000016,-9.7,-8.046
Milnacipran,65833,246.354,1.7713999999999994,-6.789,-6.682
Mirtazapine,4205,265.36,2.4789000000000003,-8.874,-7.929
Moclobémide,4235,268.744,1.4019999999999997,-8.096,-7.338
Nomifensine,4528,238.33400000000003,2.8461000000000016,-9.119,-8.051
Nortriptyline,4543,263.384,3.826400000000002,-7.697,-6.326
Néfazodone,4449,470.0170000000002,3.5519000000000025,-9.593,-8.958
Opipramol,9417,363.505,3.308500000000002,-10.15,-8.132
Oxaflozane,432824,273.298,3.4871000000000025,-9.472,-8.194
Paroxétine,43815,329.37100000000004,3.326500000000002,-9.448,-8.458
Protriptyline,4976,263.38400000000007,4.301900000000003,-9.194,-8.222
Sertraline,68617,306.23600000000005,5.179600000000004,-10.41,-8.123
Sélégiline,26757,187.286,2.1826,-7.808,-6.193
Tianeptine,68870,436.9610000000002,4.192600000000004,-9.08,-7.904
Toloxatone,34521,207.229,1.31252,-7.467,-7.32
Tranylcypromine,5530,133.194,1.5012,-6.867,-5.884
Trazodone,5533,371.872,2.3617,-9.772,-9.066
Trimipramine,5584,294.44200000000006,4.121000000000003,-6.505,-5.842
Venlafaxine,5656,277.408,3.0356000000000014,-7.329,-6.722
Vilazodone,6918314,441.53500000000014,4.029580000000003,-11.14,-10.17
Viloxazine,5666,237.299,1.4524999999999997,-6.901,-6.555
Vortioxétine,9966051,298.45500000000004,3.8642400000000032,-9.737,-7.91
Zimélidine,5365247,317.23,3.8374000000000015,-8.483,-7.351
