CID,DeltaG_MexB,DeltaG_MexR
6918314,-11.14,-10.17
68617,-10.41,-8.123
71353,-10.31,-9.123
9417,-10.15,-8.132
5533,-9.772,-9.066
9966051,-9.737,-7.91
4184,-9.7,-8.046
4449,-9.593,-8.958
432824,-9.472,-8.194
43815,-9.448,-8.458
667477,-9.34,-8.163
82148,-9.271,-8.171
2170,-9.198,-8.446
4976,-9.194,-8.222
4011,-9.187,-7.902
3386,-9.145,-7.741
4528,-9.119,-8.051
68870,-9.08,-7.904
44668,-9.051,-7.917
4205,-8.874,-7.929
60835,-8.827,-7.313
2771,-8.656,-7.781
146570,-8.636,-7.728
5365247,-8.483,-7.351
5284550,-8.372,-7.232
36109,-8.343,-6.886
3759,-8.172,-7.597
4235,-8.096,-7.338
26757,-7.808,-6.193
5324346,-7.777,-7.081
4543,-7.697,-6.326
34521,-7.467,-7.32
2160,-7.454,-6.625
444,-7.378,-6.78
125017,-7.377,-6.878
5656,-7.329,-6.722
2081,-7.257,-6.796
19063,-7.133,-6.633
5666,-6.901,-6.555
6917779,-6.878,-6.846
5530,-6.867,-5.884
3821,-6.843,-6.882
3696,-6.837,-5.625
65833,-6.789,-6.682
2995,-6.588,-6.07
5584,-6.505,-5.842
3748,-6.445,-5.686
2801,-6.2,-5.612
